group,family_a,family_b,count,n,prevalence,lift
all,decision,fix,13,1126,0.011545293072824156,0.5350146198830409
all,decision,guardrail,7,1126,0.006216696269982238,1.3169590643274853
all,decision,lifecycle,112,1126,0.0994671403197158,0.9598660425467138
all,decision,personalize,11,1126,0.009769094138543518,1.1436749769159742
all,decision,policy,134,1126,0.11900532859680284,1.9680949585860563
all,decision,polish,11,1126,0.009769094138543518,0.9657699805068226
all,decision,procedure,211,1126,0.18738898756660746,1.8161984481901923
all,decision,resource,51,1126,0.0452930728241563,1.0661097187412978
all,decision,retarget,41,1126,0.03641207815275311,0.8803585049580472
all,decision,script,12,1126,0.010657193605683837,0.2604973973395026
all,decision,spec,62,1126,0.055062166962699825,1.8417623004880623
all,decision,style,2,1126,0.0017761989342806395,1.3169590643274853
all,fix,guardrail,1,1126,0.0008880994671403197,0.558531746031746
all,fix,lifecycle,16,1126,0.014209591474245116,0.40708604483007954
all,fix,personalize,3,1126,0.0026642984014209592,0.9259868421052632
all,fix,policy,13,1126,0.011545293072824156,0.5668370508054523
all,fix,polish,5,1126,0.004440497335701598,1.3032407407407407
all,fix,procedure,23,1126,0.020426287744227355,0.5877360203340596
all,fix,resource,7,1126,0.006216696269982238,0.43441358024691357
all,fix,retarget,5,1126,0.004440497335701598,0.31872735507246375
all,fix,script,16,1126,0.014209591474245116,1.031135531135531
all,fix,spec,10,1126,0.008880994671403197,0.8818922305764411
all,fix,style,0,1126,0.0,0.0
all,guardrail,lifecycle,5,1126,0.004440497335701598,0.5815514926143993
all,guardrail,personalize,2,1126,0.0017761989342806395,2.8220551378446115
all,guardrail,policy,13,1126,0.011545293072824156,2.5912550893963533
all,guardrail,polish,0,1126,0.0,0.0
all,guardrail,procedure,11,1126,0.009769094138543518,1.2849880693017948
all,guardrail,resource,5,1126,0.004440497335701598,1.418493323255228
all,guardrail,retarget,0,1126,0.0,0.0
all,guardrail,script,4,1126,0.003552397868561279,1.1784406070120357
all,guardrail,spec,5,1126,0.004440497335701598,2.0157536698890084
all,guardrail,style,1,1126,0.0008880994671403197,8.936507936507937
all,lifecycle,personalize,18,1126,0.015985790408525755,1.1569813905696997
all,lifecycle,policy,107,1126,0.09502664298401421,0.9715585159141675
all,lifecycle,polish,17,1126,0.015097690941385435,0.9227283682815136
all,lifecycle,procedure,155,1126,0.13765541740674955,0.8248148620740173
all,lifecycle,resource,62,1126,0.055062166962699825,0.8012487231576169
all,lifecycle,retarget,86,1126,0.0763765541740675,1.1416108648495709
all,lifecycle,script,30,1126,0.02664298401420959,0.4026125718099688
all,lifecycle,spec,42,1126,0.037300177619893425,0.7713209270464665
all,lifecycle,style,3,1126,0.0026642984014209592,1.2212581344902387
all,personalize,policy,12,1126,0.010657193605683837,1.3218548229309333
all,personalize,polish,0,1126,0.0,0.0
all,personalize,procedure,15,1126,0.013321492007104795,0.9683522531819746
all,personalize,resource,2,1126,0.0017761989342806395,0.3135616819827346
all,personalize,retarget,7,1126,0.006216696269982238,1.127288329519451
all,personalize,script,4,1126,0.003552397868561279,0.6512434933487565
all,personalize,spec,4,1126,0.003552397868561279,0.891175306687772
all,personalize,style,1,1126,0.0008880994671403197,4.93859649122807
all,policy,polish,12,1126,0.010657193605683837,1.1162329615861215
all,policy,procedure,185,1126,0.16429840142095914,1.6871168128548404
all,policy,resource,54,1126,0.047957371225577264,1.1959638874137015
all,policy,retarget,41,1126,0.03641207815275311,0.9327218361079683
all,policy,script,14,1126,0.012433392539964476,0.321990277380612
all,policy,spec,48,1126,0.04262877442273535,1.5106912262067809
all,policy,style,1,1126,0.0008880994671403197,0.6976456009913259
all,polish,procedure,17,1126,0.015097690941385435,0.9267489711934156
all,polish,resource,10,1126,0.008880994671403197,1.3239271017048795
all,polish,retarget,7,1126,0.006216696269982238,0.9519323671497585
all,polish,script,3,1126,0.0026642984014209592,0.41245421245421243
all,polish,spec,6,1126,0.0053285968028419185,1.1288220551378445
all,polish,style,0,1126,0.0,0.0
all,procedure,resource,84,1126,0.07460035523978685,1.0902929072863714
all,procedure,retarget,75,1126,0.06660746003552398,0.9999289570900824
all,procedure,script,32,1126,0.028419182948490232,0.43132466661878427
all,procedure,spec,84,1126,0.07460035523978685,1.5493636050911592
all,procedure,style,3,1126,0.0026642984014209592,1.2265795206971677
all,resource,retarget,61,1126,0.0541740674955595,1.9750977685760294
all,resource,script,36,1126,0.03197158081705151,1.1784406070120357
all,resource,spec,25,1126,0.022202486678507993,1.1198631499383378
all,resource,style,1,1126,0.0008880994671403197,0.9929453262786596
all,retarget,script,18,1126,0.015985790408525755,0.6052317247969422
all,retarget,spec,11,1126,0.009769094138543518,0.5061294540699575
all,retarget,style,0,1126,0.0,0.0
all,script,spec,6,1126,0.0053285968028419185,0.2791043542923242
all,script,style,0,1126,0.0,0.0
all,spec,style,0,1126,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,fix,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,guardrail,0,24,0.0,
repository:ComposioHQ/awesome-claude-skills,decision,lifecycle,1,24,0.041666666666666664,1.8461538461538463
repository:ComposioHQ/awesome-claude-skills,decision,personalize,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,policy,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,polish,1,24,0.041666666666666664,24.0
repository:ComposioHQ/awesome-claude-skills,decision,procedure,1,24,0.041666666666666664,24.0
repository:ComposioHQ/awesome-claude-skills,decision,resource,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,retarget,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,script,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,spec,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,decision,style,0,24,0.0,
repository:ComposioHQ/awesome-claude-skills,fix,guardrail,0,24,0.0,
repository:ComposioHQ/awesome-claude-skills,fix,lifecycle,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,personalize,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,policy,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,polish,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,procedure,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,resource,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,retarget,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,script,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,spec,0,24,0.0,0.0
repository:ComposioHQ/awesome-claude-skills,fix,style,0,24,0.0,
