group,level,label,count,n,prevalence
all,family,decision,285,1126,0.2531083481349911
all,family,fix,96,1126,0.0852575488454707
all,family,guardrail,21,1126,0.018650088809946713
all,family,lifecycle,461,1126,0.40941385435168737
all,family,personalize,38,1126,0.03374777975133215
all,family,policy,269,1126,0.238898756660746
all,family,polish,45,1126,0.03996447602131439
all,family,procedure,459,1126,0.40763765541740676
all,family,resource,189,1126,0.16785079928952043
all,family,retarget,184,1126,0.16341030195381884
all,family,script,182,1126,0.16163410301953818
all,family,spec,133,1126,0.11811722912966252
all,family,style,6,1126,0.0053285968028419185
all,pattern,add-activation-criterion,50,1126,0.04440497335701599
all,pattern,add-consent-gate,59,1126,0.052397868561278864
all,pattern,add-decision-rule,170,1126,0.15097690941385436
all,pattern,add-design-principle,45,1126,0.03996447602131439
all,pattern,add-eval-suite-resource,25,1126,0.022202486678507993
all,pattern,add-example,47,1126,0.041740674955595025
all,pattern,add-hard-constraint,164,1126,0.14564831261101244
all,pattern,add-instruction-guardrail,21,1126,0.018650088809946713
all,pattern,add-output-asset,12,1126,0.010657193605683837
all,pattern,add-output-format-spec,63,1126,0.05595026642984014
all,pattern,add-platform-specific-branch,44,1126,0.03907637655417407
all,pattern,add-precondition-check,77,1126,0.06838365896980461
all,pattern,add-priority-hierarchy,15,1126,0.013321492007104795
all,pattern,add-procedure-step,200,1126,0.17761989342806395
all,pattern,add-prompt-template-resource,42,1126,0.037300177619893425
all,pattern,add-reference-doc,123,1126,0.10923623445825932
all,pattern,add-review-round,86,1126,0.0763765541740675
all,pattern,add-scoring-rubric,15,1126,0.013321492007104795
all,pattern,add-sub-workflow,55,1126,0.04884547069271759
all,pattern,add-template,20,1126,0.017761989342806393
all,pattern,add-tool-config,14,1126,0.012433392539964476
all,pattern,add-voice-rule,6,1126,0.0053285968028419185
all,pattern,change-artifact-storage,118,1126,0.10479573712255773
all,pattern,fix-skill-instruction-bug,96,1126,0.0852575488454707
all,pattern,integrate-external-system,136,1126,0.12078152753108348
all,pattern,modify-skill-metadata,205,1126,0.18206039076376554
all,pattern,personalize-defaults,38,1126,0.03374777975133215
all,pattern,relax-constraint,104,1126,0.09236234458259325
all,pattern,remove-auxiliary-file,65,1126,0.05772646536412078
all,pattern,remove-procedure-step,62,1126,0.055062166962699825
all,pattern,rename-or-reorganize-structure,94,1126,0.08348134991119005
all,pattern,reorder-steps,7,1126,0.006216696269982238
all,pattern,retarget-domain-stack,47,1126,0.041740674955595025
all,pattern,retarget-host-tooling,130,1126,0.11545293072824156
all,pattern,retarget-version-api,11,1126,0.009769094138543518
all,pattern,script-add-feature,66,1126,0.0586145648312611
all,pattern,script-add-input-validation,23,1126,0.020426287744227355
all,pattern,script-add-safety-guard,29,1126,0.02575488454706927
all,pattern,script-fix-logic-bug,41,1126,0.03641207815275311
all,pattern,script-fix-platform-compat,40,1126,0.035523978685612786
all,pattern,script-optimize,12,1126,0.010657193605683837
all,pattern,script-refactor,32,1126,0.028419182948490232
all,pattern,style-or-format-content,51,1126,0.0452930728241563
all,pattern,swap-execution-model,92,1126,0.08170515097690942
all,pattern,tighten-instruction-wording,45,1126,0.03996447602131439
all,pattern,translate-skill-content,129,1126,0.11456483126110124
repository:ComposioHQ/awesome-claude-skills,family,decision,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,fix,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,guardrail,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,family,lifecycle,13,24,0.5416666666666666
repository:ComposioHQ/awesome-claude-skills,family,personalize,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,family,policy,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,polish,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,procedure,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,resource,3,24,0.125
repository:ComposioHQ/awesome-claude-skills,family,retarget,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,family,script,6,24,0.25
repository:ComposioHQ/awesome-claude-skills,family,spec,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,family,style,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-activation-criterion,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-consent-gate,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-decision-rule,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-design-principle,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-eval-suite-resource,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-example,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-hard-constraint,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-instruction-guardrail,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-output-asset,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-output-format-spec,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-platform-specific-branch,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-precondition-check,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-priority-hierarchy,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-procedure-step,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-prompt-template-resource,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-reference-doc,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,add-review-round,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-scoring-rubric,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-sub-workflow,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-template,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-tool-config,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,add-voice-rule,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,change-artifact-storage,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,fix-skill-instruction-bug,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,integrate-external-system,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,modify-skill-metadata,7,24,0.2916666666666667
repository:ComposioHQ/awesome-claude-skills,pattern,personalize-defaults,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,pattern,relax-constraint,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,remove-auxiliary-file,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,remove-procedure-step,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,rename-or-reorganize-structure,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,reorder-steps,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,retarget-domain-stack,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,retarget-host-tooling,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,retarget-version-api,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,script-add-feature,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,script-add-input-validation,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,script-add-safety-guard,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,pattern,script-fix-logic-bug,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,script-fix-platform-compat,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,script-optimize,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,script-refactor,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,pattern,style-or-format-content,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,swap-execution-model,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,pattern,tighten-instruction-wording,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,pattern,translate-skill-content,6,24,0.25
exclude:ComposioHQ/awesome-claude-skills,family,decision,284,1102,0.2577132486388385
exclude:ComposioHQ/awesome-claude-skills,family,fix,95,1102,0.08620689655172414
exclude:ComposioHQ/awesome-claude-skills,family,guardrail,21,1102,0.019056261343012703
