group,surface,count,n,prevalence
all,SKILL.md,898,1126,0.7975133214920072
all,README.md,22,1126,0.019538188277087035
all,LICENSE.txt,9,1126,0.007992895204262877
all,AGENTS.md,19,1126,0.016873889875666074
all,agents/,21,1126,0.018650088809946713
all,scripts,262,1126,0.23268206039076378
all,references,169,1126,0.15008880994671403
all,assets,25,1126,0.022202486678507993
all,configuration,50,1126,0.04440497335701599
all,examples,95,1126,0.08436944937833037
all,additional files,461,1126,0.40941385435168737
all,additional directories,30,1126,0.02664298401420959
repository:ComposioHQ/awesome-claude-skills,SKILL.md,11,24,0.4583333333333333
repository:ComposioHQ/awesome-claude-skills,README.md,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,LICENSE.txt,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,AGENTS.md,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,agents/,0,24,0.0
repository:ComposioHQ/awesome-claude-skills,scripts,9,24,0.375
repository:ComposioHQ/awesome-claude-skills,references,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,assets,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,configuration,2,24,0.08333333333333333
repository:ComposioHQ/awesome-claude-skills,examples,1,24,0.041666666666666664
repository:ComposioHQ/awesome-claude-skills,additional files,6,24,0.25
repository:ComposioHQ/awesome-claude-skills,additional directories,0,24,0.0
exclude:ComposioHQ/awesome-claude-skills,SKILL.md,887,1102,0.8049001814882033
exclude:ComposioHQ/awesome-claude-skills,README.md,21,1102,0.019056261343012703
exclude:ComposioHQ/awesome-claude-skills,LICENSE.txt,9,1102,0.008166969147005444
exclude:ComposioHQ/awesome-claude-skills,AGENTS.md,19,1102,0.017241379310344827
exclude:ComposioHQ/awesome-claude-skills,agents/,21,1102,0.019056261343012703
exclude:ComposioHQ/awesome-claude-skills,scripts,253,1102,0.2295825771324864
exclude:ComposioHQ/awesome-claude-skills,references,168,1102,0.15245009074410162
exclude:ComposioHQ/awesome-claude-skills,assets,24,1102,0.021778584392014518
exclude:ComposioHQ/awesome-claude-skills,configuration,48,1102,0.043557168784029036
exclude:ComposioHQ/awesome-claude-skills,examples,94,1102,0.0852994555353902
exclude:ComposioHQ/awesome-claude-skills,additional files,455,1102,0.4128856624319419
exclude:ComposioHQ/awesome-claude-skills,additional directories,30,1102,0.02722323049001815
repository:affaan-m/everything-claude-code,SKILL.md,110,155,0.7096774193548387
repository:affaan-m/everything-claude-code,README.md,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,LICENSE.txt,0,155,0.0
repository:affaan-m/everything-claude-code,AGENTS.md,0,155,0.0
repository:affaan-m/everything-claude-code,agents/,11,155,0.07096774193548387
repository:affaan-m/everything-claude-code,scripts,54,155,0.34838709677419355
repository:affaan-m/everything-claude-code,references,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,assets,0,155,0.0
repository:affaan-m/everything-claude-code,configuration,23,155,0.14838709677419354
repository:affaan-m/everything-claude-code,examples,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,additional files,17,155,0.10967741935483871
repository:affaan-m/everything-claude-code,additional directories,2,155,0.012903225806451613
exclude:affaan-m/everything-claude-code,SKILL.md,788,971,0.811534500514933
exclude:affaan-m/everything-claude-code,README.md,21,971,0.021627188465499485
exclude:affaan-m/everything-claude-code,LICENSE.txt,9,971,0.009268795056642637
exclude:affaan-m/everything-claude-code,AGENTS.md,19,971,0.01956745623069001
exclude:affaan-m/everything-claude-code,agents/,10,971,0.010298661174047374
exclude:affaan-m/everything-claude-code,scripts,208,971,0.21421215242018538
exclude:affaan-m/everything-claude-code,references,167,971,0.17198764160659114
exclude:affaan-m/everything-claude-code,assets,25,971,0.025746652935118436
exclude:affaan-m/everything-claude-code,configuration,27,971,0.027806385169927908
exclude:affaan-m/everything-claude-code,examples,94,971,0.09680741503604531
exclude:affaan-m/everything-claude-code,additional files,444,971,0.4572605561277034
exclude:affaan-m/everything-claude-code,additional directories,28,971,0.028836251287332648
repository:anthropics/skills,SKILL.md,114,204,0.5588235294117647
repository:anthropics/skills,README.md,8,204,0.0392156862745098
repository:anthropics/skills,LICENSE.txt,9,204,0.04411764705882353
repository:anthropics/skills,AGENTS.md,0,204,0.0
repository:anthropics/skills,agents/,9,204,0.04411764705882353
repository:anthropics/skills,scripts,101,204,0.4950980392156863
repository:anthropics/skills,references,42,204,0.20588235294117646
repository:anthropics/skills,assets,22,204,0.10784313725490197
repository:anthropics/skills,configuration,14,204,0.06862745098039216
repository:anthropics/skills,examples,18,204,0.08823529411764706
repository:anthropics/skills,additional files,60,204,0.29411764705882354
repository:anthropics/skills,additional directories,16,204,0.0784313725490196
exclude:anthropics/skills,SKILL.md,784,922,0.8503253796095445
exclude:anthropics/skills,README.md,14,922,0.015184381778741865
exclude:anthropics/skills,LICENSE.txt,0,922,0.0
exclude:anthropics/skills,AGENTS.md,19,922,0.020607375271149676
exclude:anthropics/skills,agents/,12,922,0.013015184381778741
exclude:anthropics/skills,scripts,161,922,0.17462039045553146
exclude:anthropics/skills,references,127,922,0.13774403470715835
exclude:anthropics/skills,assets,3,922,0.0032537960954446853
exclude:anthropics/skills,configuration,36,922,0.039045553145336226
exclude:anthropics/skills,examples,77,922,0.08351409978308026
exclude:anthropics/skills,additional files,401,922,0.4349240780911063
exclude:anthropics/skills,additional directories,14,922,0.015184381778741865
repository:mattpocock/skills,SKILL.md,2,2,1.0
repository:mattpocock/skills,README.md,0,2,0.0
repository:mattpocock/skills,LICENSE.txt,0,2,0.0
repository:mattpocock/skills,AGENTS.md,0,2,0.0
repository:mattpocock/skills,agents/,0,2,0.0
repository:mattpocock/skills,scripts,0,2,0.0
repository:mattpocock/skills,references,0,2,0.0
repository:mattpocock/skills,assets,0,2,0.0
repository:mattpocock/skills,configuration,0,2,0.0
repository:mattpocock/skills,examples,0,2,0.0
repository:mattpocock/skills,additional files,0,2,0.0
repository:mattpocock/skills,additional directories,0,2,0.0
exclude:mattpocock/skills,SKILL.md,896,1124,0.797153024911032
exclude:mattpocock/skills,README.md,22,1124,0.019572953736654804
exclude:mattpocock/skills,LICENSE.txt,9,1124,0.00800711743772242
exclude:mattpocock/skills,AGENTS.md,19,1124,0.016903914590747332
exclude:mattpocock/skills,agents/,21,1124,0.018683274021352312
exclude:mattpocock/skills,scripts,262,1124,0.23309608540925267
exclude:mattpocock/skills,references,169,1124,0.15035587188612098
exclude:mattpocock/skills,assets,25,1124,0.02224199288256228
exclude:mattpocock/skills,configuration,50,1124,0.04448398576512456
exclude:mattpocock/skills,examples,95,1124,0.08451957295373666
exclude:mattpocock/skills,additional files,461,1124,0.4101423487544484
exclude:mattpocock/skills,additional directories,30,1124,0.026690391459074734
repository:obra/superpowers,SKILL.md,636,694,0.9164265129682997
repository:obra/superpowers,README.md,3,694,0.004322766570605188
repository:obra/superpowers,LICENSE.txt,0,694,0.0
repository:obra/superpowers,AGENTS.md,0,694,0.0
repository:obra/superpowers,agents/,1,694,0.001440922190201729
repository:obra/superpowers,scripts,96,694,0.138328530259366
repository:obra/superpowers,references,112,694,0.16138328530259366
repository:obra/superpowers,assets,2,694,0.002881844380403458
repository:obra/superpowers,configuration,4,694,0.005763688760806916
