upstream,sha,skill_root,available,has_script_surface,script_files,has_script_suffix
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/algorithmic-art,True,False,0,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/brand-guidelines,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/canvas-design,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/claude-api,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/doc-coauthoring,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/docx,True,True,59,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/frontend-design,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/internal-comms,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/mcp-builder,True,True,4,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/pdf,True,True,8,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/pptx,True,True,55,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/skill-creator,True,True,9,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/slack-gif-creator,True,False,0,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/theme-factory,True,False,0,False
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/web-artifacts-builder,True,True,3,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/webapp-testing,True,True,1,True
anthropics/skills,5128e1865d670f5d6c9cef000e6dfc4e951fb5b9,skills/xlsx,True,True,52,True
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/brainstorming,True,True,5,True
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/dispatching-parallel-agents,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/executing-plans,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/finishing-a-development-branch,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/receiving-code-review,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/requesting-code-review,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/subagent-driven-development,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/systematic-debugging,True,True,1,True
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/test-driven-development,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/using-git-worktrees,True,False,0,False
obra/superpowers,e7a2d16476bf042e9add4699c9d018a90f86e4a6,skills/using-superpowers,True,False,0,False
